"project","class","avg_ccn","sum_string_args","sum_number_args"
"Geometry","org.apache.commons.geometry.euclidean.twod.ConvexAreaTest",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.EmbeddedTreeLineSubset",1.55555555555556,0,1
"Geometry","org.apache.commons.geometry.euclidean.twod.EmbeddedTreeLineSubsetTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Line",1.22222222222222,0,8
"Geometry","org.apache.commons.geometry.euclidean.twod.Line$SubspaceTransform",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Linecastable2D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.LinecastChecker2D",1.4,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.LinecastChecker2D$ExpectedResult",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.LinecastPoint2D",2.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.LineConvexSubset",1.16666666666667,0,1
"Geometry","org.apache.commons.geometry.euclidean.twod.LineConvexSubsetTest",1.4,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Lines",1.875,0,7
"Geometry","org.apache.commons.geometry.euclidean.twod.LineSpanningSubset",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.LineSpanningSubsetTest",3.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.LineSubset",1.9,0,1
"Geometry","org.apache.commons.geometry.euclidean.twod.LineTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.AbstractLinePathConnector",1.8,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.AbstractLinePathConnector$ConnectableLineSubset",2.44444444444444,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.AbstractLinePathConnectorTest",1.25,0,1
"Geometry","org.apache.commons.geometry.euclidean.twod.path.AbstractLinePathConnectorTest$TestConnector",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.InteriorAngleLinePathConnector",1.75,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.path.InteriorAngleLinePathConnector$Maximize",2,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.path.InteriorAngleLinePathConnector$Minimize",2,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.path.InteriorAngleLinePathConnectorTest",1.14285714285714,0,3
"Geometry","org.apache.commons.geometry.euclidean.twod.path.LinePath",1.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.LinePath$Builder",3.0625,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.LinePath$SimplifiedLinePath",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.path.LinePathTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.PolarCoordinates",1.625,1,9
"Geometry","org.apache.commons.geometry.euclidean.twod.PolarCoordinatesTest",1,0,8
"Geometry","org.apache.commons.geometry.euclidean.twod.Ray",2.8,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.RayTest",3.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D",1.22222222222222,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$BoundaryProjector2D",1.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$LinecastVisitor",4.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$PartitionedRegionBuilder2D",1.25,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2D$RegionNode2D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.RegionBSPTree2DTest",1.57142857142857,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.ReverseRay",2.8,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.ReverseRayTest",3.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.rotation.Rotation2D",1.5,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.rotation.Rotation2DTest",1.25,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.Segment",3.4,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.SegmentTest",3,0,0
